activities_q1,eventropy_k_block_ratio_3,log,n_unique_start_activities,ratio_top_5_variants,skewness_variant_occurrence,start_activities_q1,target_similarity,trace_len_kurtosis_hist,trace_len_variance
,1.887,genEL10045_nan_194_544_031_nan_nan_nan_nan,5.0,0.5976154992548435,,,0.8995053174968383,,
54.5,,genEL10046_6413_nan_nan_nan_959_nan_nan_13878,,,1.6991441710542114,,0.9572995758691005,,9.1875
,1.949,genEL10046_nan_194_544_038_nan_nan_nan_nan,8.0,0.6194398682042833,,,0.9170798214188957,,
54.5,,genEL10047_6413_nan_nan_nan_959_nan_nan_16654,,,1.6991441710542114,,0.9570739832476046,,9.1875
,1.977,genEL10047_nan_194_544_046_nan_nan_nan_nan,2.0,0.46979038224414305,,,0.9935161500595613,,
54.5,,genEL10048_6413_nan_nan_nan_959_nan_nan_1943,,,1.6991441710542114,,0.9568483906261086,,9.1875
,1.982,genEL10048_nan_194_544_054_nan_nan_nan_nan,4.0,0.5411125678966099,,,0.99705845847417,,
3947.0,,genEL10049_6413_nan_nan_nan_959_nan_nan_22205,,,22.779334429765022,,0.9091456375718219,,9.1875
6.5,,genEL1004_10_nan_989_023_nan_nan_nan_nan,9.0,0.026033690658499236,,,0.9302287887808609,,
1498.0,,genEL1004_12727_nan_nan_046_nan_nan_437_nan,,0.03951313107087181,,,0.8499127333567097,-1.8333333333333333,
,1.958,genEL1004_nan_097_nan_nan_758_nan_1504_nan,,,7.374630124409407,,0.9522461979388074,0.27289037221817347,
,,genEL1004_nan_nan_10_nan_nan_31382_259_nan,1.0,,,5626.0,0.9881188647927316,-1.8333333333333333,
,,genEL1004_nan_nan_878_031_nan_14003_nan_nan,10.0,0.015723392929017515,,137.25,0.8993964530144797,,
,,genEL1004_nan_nan_878_nan_nan_31382_792_nan,3.0,,,535.0,0.9968931123514202,-1.8333333333333333,
,,genEL1004_nan_nan_nan_015_959_nan_nan_11103,,0.004833060454705602,40.77373331245885,,0.785402730728549,,9.1875
,,genEL1004_nan_nan_nan_nan_959_nan_259_nan,,,13.619936594008662,,0.9679748279861607,-1.8333333333333333,
,,genEL1004_nan_nan_nan_nan_nan_10_1326_24981,,,,535.0,0.9965016510915026,-1.8333333333333333,9.1875
54.5,,genEL10050_6413_nan_nan_nan_959_nan_nan_24981,,,1.6991441710542114,,0.9563972866484702,,9.1875
54.5,,genEL10051_6413_nan_nan_nan_1161_10_nan_nan,,,1.6991441710542114,43.5,0.9476095476652355,,
54.5,,genEL10052_6413_nan_nan_nan_1161_3576_nan_nan,,,1.6991441710542114,43.5,0.947686602554652,,
363.0,,genEL10053_6413_nan_nan_nan_1161_7052_nan_nan,,,11.104539624303817,70.75,0.9958266828061731,,
54.5,,genEL10054_6413_nan_nan_nan_1161_10527_nan_nan,,,1.6991441710542114,43.5,0.9475668305271729,,
54.5,,genEL10055_6413_nan_nan_nan_1161_14003_nan_nan,,,1.6991441710542114,43.5,0.9474897756377564,,
54.5,,genEL10056_6413_nan_nan_nan_1161_17479_nan_nan,,,1.6991441710542114,43.5,0.9474127207483399,,
54.5,,genEL10057_6413_nan_nan_nan_1161_20955_nan_nan,,,1.6991441710542114,43.5,0.9473356658589235,,
54.5,,genEL10058_6413_nan_nan_nan_1161_2443_nan_nan,,,1.6991441710542114,43.5,0.9472586331371967,,
54.5,,genEL10059_6413_nan_nan_nan_1161_27906_nan_nan,,,1.6991441710542114,43.5,0.9471815782477802,,
5.0,,genEL1005_10_nan_989_031_nan_nan_nan_nan,9.0,0.013157894736842105,,,0.8986459512253088,,
4780.0,,genEL1005_12727_nan_nan_046_nan_nan_615_nan,,0.0029411764705882353,,,0.820869480919869,-1.8333333333333333,
,1.958,genEL1005_nan_097_nan_nan_758_nan_nan_8327,,,7.374630124409407,,0.951993967507426,,8.990558770017536
,,genEL1005_nan_nan_10_nan_nan_31382_437_nan,2.0,,,593.5,0.9988198557877297,-1.8333333333333333,
,,genEL1005_nan_nan_878_031_nan_17479_nan_nan,7.0,0.09157807220816896,,188.5,0.9249421119467606,,
,,genEL1005_nan_nan_878_nan_nan_31382_97_nan,3.0,,,535.0,0.9968507547562274,-1.8333333333333333,
,,genEL1005_nan_nan_nan_015_959_nan_nan_13878,,0.004833060454705602,40.77373331245885,,0.7851772193724067,,9.1875
,,genEL1005_nan_nan_nan_nan_959_nan_437_nan,,,16.247516153879786,,0.9471333415706679,-1.8333333333333333,
,,genEL1005_nan_nan_nan_nan_nan_10_1504_00,,,,5.75,0.9995132831842035,-1.8333333333333333,9.1875
54.5,,genEL10060_6413_nan_nan_nan_1161_31382_nan_nan,,,1.6991441710542114,43.5,0.9471045233583637,,
315.0,,genEL10061_6413_nan_nan_nan_1161_nan_-097_nan,,,11.753221823901828,,0.9979584979058078,-1.8333333333333333,
315.0,,genEL10062_6413_nan_nan_nan_1161_nan_081_nan,,,11.753221823901828,,0.9979161403106152,-1.8333333333333333,
89.0,,genEL10063_6413_nan_nan_nan_1161_nan_259_nan,,,9.05436582714667,,0.9862965549795851,-1.8333333333333333,
1498.0,,genEL10064_6413_nan_nan_nan_1161_nan_437_nan,,,16.247516153879786,,0.9681689957833082,-1.8333333333333333,
89.0,,genEL10065_6413_nan_nan_nan_1161_nan_615_nan,,,9.05436582714667,,0.9862118397891996,-1.8333333333333333,
89.0,,genEL10066_6413_nan_nan_nan_1161_nan_792_nan,,,9.05436582714667,,0.9861697201580247,-1.8333333333333333,
89.0,,genEL10067_6413_nan_nan_nan_1161_nan_97_nan,,,9.05436582714667,,0.9861273625628321,-1.8333333333333333,
89.0,,genEL10068_6413_nan_nan_nan_1161_nan_1148_nan,,,9.05436582714667,,0.9860850049676393,-1.8333333333333333,
89.0,,genEL10069_6413_nan_nan_nan_1161_nan_1326_nan,,,9.05436582714667,,0.9860426473724465,-1.8333333333333333,
21.0,,genEL1006_10_nan_989_038_nan_nan_nan_nan,2.0,0.027985074626865673,,,0.8769111587506703,,
4780.0,,genEL1006_12727_nan_nan_046_nan_nan_792_nan,,0.0029411764705882353,,,0.8208273612886942,-1.8333333333333333,
1498.0,,genEL1006_7992_nan_nan_nan_nan_10527_437_nan,,,,593.5,0.9916142497147988,-1.8333333333333333,
,1.958,genEL1006_nan_097_nan_nan_758_nan_nan_11103,,,7.374630124409407,,0.9517683748859301,,8.990558770017536
,,genEL1006_nan_nan_10_nan_nan_31382_615_nan,3.0,,,535.0,0.998494637923189,-1.8333333333333333,
,,genEL1006_nan_nan_656_nan_nan_10_nan_nan,7.0,,,3.5,0.9997194098886376,,
,,genEL1006_nan_nan_878_031_nan_20955_nan_nan,9.0,0.01854276448190831,,121.0,0.9005778319099499,,
,,genEL1006_nan_nan_878_nan_nan_31382_1148_nan,3.0,,,535.0,0.9968083971610346,-1.8333333333333333,
,,genEL1006_nan_nan_nan_015_959_nan_nan_16654,,0.004833060454705602,40.77373331245885,,0.7849516267509107,,9.1875
,,genEL1006_nan_nan_nan_nan_959_nan_nan_00,,,1.4935378057831277,,0.9358641077644313,,9.1875
,,genEL1006_nan_nan_nan_nan_nan_10_1504_2776,,,,535.0,0.9982637906722169,-1.8333333333333333,9.1875
89.0,,genEL10070_6413_nan_nan_nan_1161_nan_1504_nan,,,9.05436582714667,,0.9860002897772537,-1.8333333333333333,
54.5,,genEL10071_6413_nan_nan_nan_1161_nan_nan_00,,,1.6991441710542114,,0.9476290978028964,,9.1875
54.5,,genEL10072_6413_nan_nan_nan_1161_nan_nan_2776,,,1.6991441710542114,,0.9475528302685757,,9.1875
54.5,,genEL10073_6413_nan_nan_nan_1161_nan_nan_5551,,,1.6991441710542114,,0.9473273189124334,,9.1875
54.5,,genEL10074_6413_nan_nan_nan_1161_nan_nan_8327,,,1.6991441710542114,,0.9471017262909374,,9.1875
54.5,,genEL10075_6413_nan_nan_nan_1161_nan_nan_11103,,,1.6991441710542114,,0.9468761336694415,,9.1875
,,genEL10075_nan_nan_433_nan_nan_27906_nan_24981,2.0,,,2665.5,0.9917931654819819,,9.1875
54.5,,genEL10076_6413_nan_nan_nan_1161_nan_nan_13878,,,1.6991441710542114,,0.946650622313299,,9.1875
,,genEL10076_nan_nan_433_nan_nan_31382_-097_nan,4.0,,,327.0,0.9998141001442248,-1.8333333333333333,
54.5,,genEL10077_6413_nan_nan_nan_1161_nan_nan_16654,,,1.6991441710542114,,0.9464250296918031,,9.1875
54.5,,genEL10078_6413_nan_nan_nan_1161_nan_nan_1943,,,1.6991441710542114,,0.9461994370703071,,9.1875
3947.0,,genEL10079_6413_nan_nan_nan_1161_nan_nan_22205,,,22.779334429765022,,0.9197945911276235,,9.1875
17.5,,genEL1007_10_nan_989_046_nan_nan_nan_nan,10.0,0.030729166666666665,,,0.8538608715079632,,
4780.0,,genEL1007_12727_nan_nan_046_nan_nan_97_nan,,0.0029411764705882353,,,0.8207850036935015,-1.8333333333333333,
4780.0,,genEL1007_7992_nan_nan_nan_nan_10527_nan_00,,,,535.0,0.9752554306670332,,9.1875
,1.958,genEL1007_nan_097_nan_nan_758_nan_nan_16654,,,7.374630124409407,,0.9513172709082918,,8.990558770017536
,,genEL1007_nan_nan_10_nan_nan_31382_792_nan,2.0,,,2265.5,0.9950289408425949,-1.8333333333333333,
,,genEL1007_nan_nan_878_031_nan_2443_nan_nan,8.0,0.01885255440474805,,241.0,0.9006411590844338,,
,,genEL1007_nan_nan_878_nan_nan_31382_1326_nan,3.0,,,535.0,0.996766039565842,-1.8333333333333333,
,,genEL1007_nan_nan_nan_015_959_nan_nan_1943,,0.009738527214514408,8.321701847436268,,0.9441015303467658,,9.1875
,,genEL1007_nan_nan_nan_nan_959_nan_nan_2776,,,25.937453268013453,,0.8705038494821139,,9.1875
,,genEL1007_nan_nan_nan_nan_nan_10_1504_5551,,,,535.0,0.9980382793160745,-1.8333333333333333,9.1875
54.5,,genEL10080_6413_nan_nan_nan_1161_nan_nan_24981,,,1.6991441710542114,,0.9457483330926687,,9.1875
54.5,,genEL10081_6413_nan_nan_nan_1362_10_nan_nan,,,1.6991441710542114,43.5,0.9370133117012943,,
54.5,,genEL10082_6413_nan_nan_nan_1362_3576_nan_nan,,,1.6991441710542114,43.5,0.9370903665907108,,
363.0,,genEL10083_6413_nan_nan_nan_1362_7052_nan_nan,,,11.104539624303817,70.75,0.985230446842232,,
54.5,,genEL10084_6413_nan_nan_nan_1362_10527_nan_nan,,,1.6991441710542114,43.5,0.9369705945632317,,
54.5,,genEL10085_6413_nan_nan_nan_1362_14003_nan_nan,,,1.6991441710542114,43.5,0.9368935396738153,,
54.5,,genEL10086_6413_nan_nan_nan_1362_17479_nan_nan,,,1.6991441710542114,43.5,0.9368164847843988,,
54.5,,genEL10087_6413_nan_nan_nan_1362_20955_nan_nan,,,1.6991441710542114,43.5,0.9367394298949823,,
54.5,,genEL10088_6413_nan_nan_nan_1362_2443_nan_nan,,,1.6991441710542114,43.5,0.9366623971732555,,
54.5,,genEL10089_6413_nan_nan_nan_1362_27906_nan_nan,,,1.6991441710542114,43.5,0.936585342283839,,
89.0,,genEL1008_10_nan_989_054_nan_nan_nan_nan,2.0,0.061015831134564644,,,0.8333812032392998,,
4780.0,,genEL1008_12727_nan_nan_046_nan_nan_1148_nan,,0.0029411764705882353,,,0.8207426460983087,-1.8333333333333333,
225.0,,genEL1008_7992_nan_nan_nan_nan_10527_nan_2776,,,,106.25,0.9991148024796446,,9.1875
,1.958,genEL1008_nan_097_nan_nan_758_nan_nan_1943,,,7.374630124409407,,0.9510916782867957,,8.990558770017536
,,genEL1008_nan_nan_10_nan_nan_31382_97_nan,2.0,,,325.5,0.9992871150502781,-1.8333333333333333,
,,genEL1008_nan_nan_878_031_nan_27906_nan_nan,6.0,0.15347638288978682,,261.25,0.9455743291104742,,
,,genEL1008_nan_nan_878_nan_nan_31382_1504_nan,3.0,,,535.0,0.9967236819706492,-1.8333333333333333,
,,genEL1008_nan_nan_nan_015_959_nan_nan_22205,,0.06320113253683962,22.779334429765022,,0.8992157461226108,,9.1875
,,genEL1008_nan_nan_nan_nan_959_nan_nan_5551,,,9.05436582714667,,0.995199736292279,,9.1875
,,genEL1008_nan_nan_nan_nan_nan_10_1504_8327,,,,535.0,0.9978126866945785,-1.8333333333333333,9.1875
54.5,,genEL10090_6413_nan_nan_nan_1362_31382_nan_nan,,,1.6991441710542114,43.5,0.9365082873944226,,
289.0,,genEL10091_6413_nan_nan_nan_1362_nan_-097_nan,,,13.288032685664337,,0.9970946769551652,-1.8333333333333333,
315.0,,genEL10092_6413_nan_nan_nan_1362_nan_081_nan,,,11.753221823901828,,0.9888299662782658,-1.8333333333333333,
6836.0,,genEL10093_6413_nan_nan_nan_1362_nan_259_nan,,,13.619936594008662,,0.9657225547388913,-1.8333333333333333,
1498.0,,genEL10094_6413_nan_nan_nan_1362_nan_437_nan,,,16.247516153879786,,0.9787652317472493,-1.8333333333333333,
6836.0,,genEL10095_6413_nan_nan_nan_1362_nan_615_nan,,,13.619936594008662,,0.9656378395485059,-1.8333333333333333,
6836.0,,genEL10096_6413_nan_nan_nan_1362_nan_792_nan,,,13.619936594008662,,0.9655957199173311,-1.8333333333333333,
6836.0,,genEL10097_6413_nan_nan_nan_1362_nan_97_nan,,,13.619936594008662,,0.9655533623221383,-1.8333333333333333,
6836.0,,genEL10098_6413_nan_nan_nan_1362_nan_1148_nan,,,13.619936594008662,,0.9655110047269455,-1.8333333333333333,
6836.0,,genEL10099_6413_nan_nan_nan_1362_nan_1326_nan,,,13.619936594008662,,0.9654686471317528,-1.8333333333333333,
89.0,,genEL1009_10_nan_989_061_nan_nan_nan_nan,2.0,0.061015831134564644,,,0.8095716794297759,,
4780.0,,genEL1009_12727_nan_nan_046_nan_nan_1326_nan,,0.0029411764705882353,,,0.8207002885031159,-1.8333333333333333,
81.0,,genEL1009_7992_nan_nan_nan_nan_10527_nan_5551,,,,81.0,0.9995643077442583,,9.1875
,2.287,genEL1009_nan_097_nan_nan_758_nan_nan_22205,,,22.779334429765022,,0.8580907592785889,,226.7244786572502
,,genEL1009_nan_nan_10_nan_nan_31382_1148_nan,6.0,,,261.25,0.9975039487553777,-1.8333333333333333,
,,genEL1009_nan_nan_878_031_nan_31382_nan_nan,2.0,0.0014285714285714286,,325.5,0.8922208102138793,,
,,genEL1009_nan_nan_nan_015_959_nan_nan_24981,,0.004833060454705602,40.77373331245885,,0.7842749301517764,,9.1875
,,genEL1009_nan_nan_nan_nan_959_nan_nan_13878,,,23.585857818338415,,0.8877461049197115,,9.1875
,,genEL1009_nan_nan_nan_nan_nan_10_1504_11103,,,,535.0,0.9975870940730825,-1.8333333333333333,9.1875
1088.75,2.618,genEL100_10_049_nan_nan_nan_31382_nan_nan,,,,325.5,0.8947195733502757,,
4780.0,,genEL100_12727_nan_878_nan_nan_nan_792_nan,3.0,,,,0.9739050577137989,-1.8333333333333333,
1080.0,,genEL100_1678_nan_nan_069_nan_nan_nan_nan,,0.1238336499894448,,,0.7030918706985028,,
,1.164,genEL100_nan_049_989_nan_nan_nan_nan_nan,5.0,,,,0.9495759789586553,,
,3.261,genEL100_nan_291_767_nan_nan_nan_1504_nan,3.0,,,,0.9813814643113379,5.1111111111111125,
,,genEL100_nan_nan_544_nan_1966_nan_nan_nan,2.0,,19.619258277428337,,0.9975491163033795,,
,,genEL100_nan_nan_767_nan_1161_nan_1148_nan,8.0,,8.664992331226573,,0.9840216807261097,-1.8333333333333333,
,,genEL100_nan_nan_nan_nan_959_31382_081_nan,,,11.753221823901828,419.0,0.988299953896005,-1.8333333333333333,
,,genEL100_nan_nan_nan_nan_nan_31382_437_22205,,,,593.5,0.9975025624095358,-1.8333333333333333,9.1875
6836.0,,genEL10100_6413_nan_nan_nan_1362_nan_1504_nan,,,13.619936594008662,,0.9654262895365601,-1.8333333333333333,
54.5,,genEL10101_6413_nan_nan_nan_1362_nan_nan_00,,,1.6991441710542114,,0.9370328618389552,,9.1875
54.5,,genEL10102_6413_nan_nan_nan_1362_nan_nan_2776,,,1.6991441710542114,,0.9369565943046346,,9.1875
54.5,,genEL10103_6413_nan_nan_nan_1362_nan_nan_5551,,,1.6991441710542114,,0.9367310829484922,,9.1875
54.5,,genEL10104_6413_nan_nan_nan_1362_nan_nan_8327,,,1.6991441710542114,,0.9365054903269963,,9.1875
54.5,,genEL10105_6413_nan_nan_nan_1362_nan_nan_11103,,,1.6991441710542114,,0.9362798977055002,,9.1875
54.5,,genEL10106_6413_nan_nan_nan_1362_nan_nan_13878,,,1.6991441710542114,,0.9360543863493579,,9.1875
54.5,,genEL10107_6413_nan_nan_nan_1362_nan_nan_16654,,,1.6991441710542114,,0.9358287937278619,,9.1875
54.5,,genEL10108_6413_nan_nan_nan_1362_nan_nan_1943,,,1.6991441710542114,,0.935603201106366,,9.1875
3947.0,,genEL10109_6413_nan_nan_nan_1362_nan_nan_22205,,,22.779334429765022,,0.9303908270915646,,9.1875
1080.0,,genEL1010_10_nan_989_069_nan_nan_nan_nan,7.0,0.1238336499894448,,,0.8007893747080248,,
4780.0,,genEL1010_12727_nan_nan_046_nan_nan_1504_nan,,0.0029411764705882353,,,0.8206579309079233,-1.8333333333333333,
